2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - GestorEventos inicializado.
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 11 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(4352-AudioDeviceAdded {'which': 0, 'iscapture': 0})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(4352-AudioDeviceAdded {'which': 0, 'iscapture': 1})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(32774-WindowShown {'window': None})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(32768-ActiveEvent {'gain': 1, 'state': 2})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(32785-WindowFocusGained {'window': None})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(770-TextEditing {'text': '', 'start': 0, 'length': 0, 'window': None})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(32768-ActiveEvent {'gain': 1, 'state': 1})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(32783-WindowEnter {'window': None})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(1024-MouseMotion {'pos': (731, 441), 'rel': (0, 0), 'buttons': (0, 0, 0), 'touch': False, 'window': None})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(32770-VideoExpose {})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Evento: <Event(32776-WindowExposed {'window': None})>
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:12 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:13 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
2025-05-19 17:16:14 - gestor_eventos - [DEBUG] - Procesando 0 eventos...
